round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.415797,0.300796,0.573720,0.096774,0.000000,0.405868,0.550802,0.297696,0.645570,0.167598,0.000000,0.214286,0.622754,0.034483,0.420054,0.400000,0.000000,0.292254,0.470320,0.752239,0.698630,0.191388,0.000000,0.311688,0.489028,0.166667,0.904669,0.055046,0.000000,0.664000,0.664516,0.185567,0.600000,0.149068,0.000000,0.163265,0.857143,0.019231
2,warmup,0.704721,0.473710,0.859010,0.346154,0.000000,0.497006,0.703947,0.786172,0.644860,0.596649,0.000000,0.385965,0.750000,0.114754,0.825853,0.363636,0.000000,0.397129,0.718121,0.761740,0.534884,0.619813,0.000000,0.543210,0.657025,0.388889,0.894942,0.330275,0.000000,0.664000,0.690323,0.812224,0.811765,0.575155,0.000000,0.299320,0.873626,0.067308
3,warmup,0.756468,0.521146,0.915754,0.351351,0.000000,0.567376,0.735441,0.822198,0.663755,0.725330,0.050000,0.376068,0.746479,0.300000,0.896552,0.345133,0.000000,0.509554,0.759450,0.815351,0.527778,0.734097,0.066667,0.505747,0.651639,0.428571,0.935798,0.357798,0.000000,0.640000,0.712903,0.829161,0.894118,0.716770,0.040000,0.299320,0.873626,0.230769
4,warmup,0.784385,0.554961,0.950217,0.417778,0.000000,0.574132,0.757475,0.833579,0.752475,0.769137,0.000000,0.454936,0.754522,0.395280,0.944284,0.405172,0.000000,0.473958,0.780822,0.833579,0.649573,0.752675,0.000000,0.616279,0.712195,0.511450,0.956226,0.431193,0.000000,0.728000,0.735484,0.833579,0.894118,0.786335,0.000000,0.360544,0.802198,0.322115
5,warmup,0.804812,0.586980,0.966193,0.435146,0.052632,0.643678,0.772803,0.854682,0.774510,0.807018,0.040000,0.471042,0.752632,0.473430,0.973346,0.400000,0.071429,0.617647,0.795222,0.869665,0.663866,0.786557,0.040000,0.544643,0.722222,0.475728,0.959144,0.477064,0.041667,0.672000,0.751613,0.840206,0.929412,0.828571,0.040000,0.414966,0.785714,0.471154
6,warmup,0.816614,0.611678,0.970200,0.449799,0.153846,0.625899,0.780405,0.871243,0.824121,0.822730,0.100000,0.479339,0.745308,0.517241,0.974485,0.400000,0.142857,0.568627,0.819149,0.878085,0.719298,0.818182,0.085714,0.610526,0.727749,0.530303,0.965953,0.513761,0.166667,0.696000,0.745161,0.864507,0.964706,0.827329,0.120000,0.394558,0.763736,0.504808
7,warmup,0.833863,0.643660,0.973210,0.463415,0.127660,0.628352,0.780096,0.883756,0.886486,0.841076,0.196721,0.557769,0.771739,0.613636,0.974634,0.416058,0.130435,0.602941,0.776358,0.909587,0.820000,0.827918,0.166667,0.673077,0.763441,0.581897,0.971790,0.522936,0.125000,0.656000,0.783871,0.859352,0.964706,0.854658,0.240000,0.476190,0.780220,0.649038
8,warmup,0.842034,0.649063,0.977539,0.465517,0.120000,0.634921,0.781302,0.891313,0.881720,0.850987,0.196721,0.570312,0.775068,0.643357,0.981373,0.439024,0.115385,0.629921,0.809689,0.910838,0.811881,0.821016,0.166667,0.669725,0.764706,0.624434,0.973735,0.495413,0.125000,0.640000,0.754839,0.872607,0.964706,0.883230,0.240000,0.496599,0.785714,0.663462
9,warmup,0.852928,0.669250,0.980450,0.513514,0.190476,0.625455,0.809211,0.899698,0.881720,0.864734,0.193548,0.610294,0.771429,0.690476,0.985265,0.504425,0.153846,0.573333,0.825503,0.921947,0.811881,0.841363,0.162162,0.664000,0.803571,0.683962,0.975681,0.522936,0.250000,0.688000,0.793548,0.878498,0.964706,0.889441,0.240000,0.564626,0.741758,0.697115
10,warmup,0.857694,0.673889,0.981445,0.515284,0.145455,0.626761,0.809444,0.904295,0.891304,0.869671,0.222222,0.614815,0.788732,0.717241,0.985294,0.491667,0.129032,0.559748,0.848057,0.925926,0.828283,0.853047,0.184211,0.674797,0.809249,0.687225,0.977626,0.541284,0.166667,0.712000,0.774194,0.883652,0.964706,0.886957,0.280000,0.564626,0.769231,0.750000
