round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.398094,0.272247,0.639924,0.292135,0.000000,0.061538,0.353175,0.225285,0.496815,0.209110,0.000000,0.269939,0.654822,0.064220,0.473807,0.246835,0.000000,0.800000,0.458763,0.604502,0.541667,0.179237,0.000000,0.245810,0.608491,0.700000,0.985409,0.357798,0.000000,0.032000,0.287097,0.138439,0.458824,0.250932,0.000000,0.299320,0.708791,0.033654
2,warmup,0.775306,0.508047,0.961117,0.360153,0.000000,0.564460,0.687933,0.841950,0.611399,0.792999,0.000000,0.308880,0.750617,0.217054,0.985685,0.309211,0.000000,0.500000,0.603406,0.844444,0.546296,0.771127,0.000000,0.357143,0.681614,0.560000,0.937743,0.431193,0.000000,0.648000,0.800000,0.839470,0.694118,0.816149,0.000000,0.272109,0.835165,0.134615
3,warmup,0.815479,0.552237,0.974757,0.365854,0.000000,0.561056,0.776758,0.882483,0.651163,0.852315,0.000000,0.329588,0.768000,0.464865,0.972868,0.328467,0.000000,0.477528,0.738372,0.885757,0.643678,0.858764,0.000000,0.366667,0.746114,0.530864,0.976654,0.412844,0.000000,0.680000,0.819355,0.879234,0.658824,0.845963,0.000000,0.299320,0.791209,0.413462
4,warmup,0.839764,0.586339,0.978558,0.409639,0.000000,0.626761,0.789969,0.908136,0.659686,0.884688,0.000000,0.375479,0.787402,0.615752,0.980469,0.364286,0.000000,0.559748,0.768293,0.925134,0.594340,0.897698,0.000000,0.429825,0.753769,0.611374,0.976654,0.467890,0.000000,0.712000,0.812903,0.891753,0.741176,0.872050,0.000000,0.333333,0.824176,0.620192
5,warmup,0.844076,0.604034,0.981463,0.469231,0.074074,0.639004,0.798680,0.911037,0.666667,0.900262,0.000000,0.401515,0.780059,0.626415,0.984344,0.403974,0.066667,0.663793,0.817568,0.913397,0.641304,0.954103,0.000000,0.452991,0.836478,0.515528,0.978599,0.559633,0.083333,0.616000,0.780645,0.908689,0.694118,0.852174,0.000000,0.360544,0.730769,0.798077
6,warmup,0.860872,0.631948,0.981132,0.469136,0.122449,0.682353,0.818605,0.918552,0.678788,0.926611,0.068966,0.455598,0.800000,0.661191,0.975938,0.425373,0.120000,0.669231,0.788060,0.941267,0.700000,0.952756,0.060606,0.526786,0.797814,0.577061,0.986381,0.522936,0.125000,0.696000,0.851613,0.896907,0.658824,0.901863,0.080000,0.401361,0.802198,0.774038
7,warmup,0.859056,0.635875,0.977969,0.455224,0.101695,0.640288,0.824477,0.923593,0.768293,0.907662,0.071429,0.483271,0.765957,0.710638,0.963208,0.383648,0.085714,0.581699,0.823151,0.935094,0.797468,0.959834,0.064516,0.532787,0.857143,0.637405,0.993191,0.559633,0.125000,0.712000,0.825806,0.912371,0.741176,0.860870,0.080000,0.442177,0.692308,0.802885
8,warmup,0.863595,0.642508,0.979827,0.479638,0.117647,0.629371,0.820122,0.923425,0.794872,0.909882,0.117647,0.436975,0.778116,0.722581,0.967742,0.473214,0.090909,0.559006,0.777457,0.946636,0.873239,0.910448,0.115385,0.571429,0.870748,0.653696,0.992218,0.486239,0.166667,0.720000,0.867742,0.901325,0.729412,0.909317,0.120000,0.353741,0.703297,0.807692
9,warmup,0.876759,0.652279,0.978887,0.476987,0.111111,0.666667,0.823529,0.940481,0.767296,0.925736,0.041667,0.529412,0.788060,0.777518,0.965909,0.438462,0.083333,0.677686,0.773371,0.944321,0.824324,0.955086,0.043478,0.576000,0.862745,0.757991,0.992218,0.522936,0.166667,0.656000,0.880645,0.936672,0.717647,0.898137,0.040000,0.489796,0.725275,0.798077
10,warmup,0.881979,0.667324,0.980806,0.489960,0.145455,0.672131,0.841945,0.939607,0.782051,0.923954,0.074074,0.568266,0.811594,0.778043,0.967803,0.435714,0.129032,0.689076,0.795977,0.945563,0.859155,0.943079,0.068966,0.620968,0.858896,0.772512,0.994163,0.559633,0.166667,0.656000,0.893548,0.933726,0.717647,0.905590,0.080000,0.523810,0.769231,0.783654
