round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.316614,0.236566,0.479483,0.051471,0.000000,0.375367,0.281471,0.133065,0.385321,0.214168,0.000000,0.308057,0.572368,0.038023,0.393392,0.042945,0.000000,0.296296,0.180254,0.761538,0.875000,0.317848,0.000000,0.236364,0.408451,0.090909,0.613813,0.064220,0.000000,0.512000,0.641935,0.072901,0.247059,0.161491,0.000000,0.442177,0.956044,0.024038
2,warmup,0.683386,0.465786,0.870599,0.404332,0.000000,0.389006,0.703640,0.720940,0.625592,0.648991,0.000000,0.362140,0.740230,0.123967,0.821398,0.333333,0.000000,0.264368,0.760300,0.838049,0.523810,0.605376,0.000000,0.458333,0.636364,0.441176,0.926070,0.513761,0.000000,0.736000,0.654839,0.632548,0.776471,0.699379,0.000000,0.299320,0.884615,0.072115
3,warmup,0.773264,0.534451,0.927481,0.376000,0.000000,0.567073,0.735395,0.830000,0.719577,0.771770,0.000000,0.395161,0.764423,0.326531,0.910112,0.333333,0.000000,0.458128,0.786765,0.868760,0.653846,0.712185,0.000000,0.485149,0.679487,0.558140,0.945525,0.431193,0.000000,0.744000,0.690323,0.794551,0.800000,0.842236,0.000000,0.333333,0.873626,0.230769
4,warmup,0.807762,0.574883,0.960000,0.353448,0.000000,0.561111,0.757417,0.864989,0.787565,0.840367,0.129032,0.403162,0.765550,0.475949,0.951289,0.333333,0.000000,0.429787,0.825095,0.897152,0.703704,0.827711,0.333333,0.481132,0.677966,0.502674,0.968872,0.376147,0.000000,0.808000,0.700000,0.835052,0.894118,0.853416,0.080000,0.346939,0.879121,0.451923
5,warmup,0.834771,0.615196,0.966970,0.372093,0.000000,0.615873,0.796020,0.882059,0.819672,0.866828,0.157895,0.546713,0.775510,0.582716,0.951932,0.377358,0.000000,0.510526,0.819113,0.922088,0.765306,0.845336,0.230769,0.556338,0.723810,0.598985,0.982490,0.366972,0.000000,0.776000,0.774194,0.845361,0.882353,0.889441,0.120000,0.537415,0.835165,0.567308
6,warmup,0.854517,0.654653,0.976431,0.403587,0.129032,0.647619,0.821918,0.898739,0.838710,0.895833,0.243902,0.587814,0.783290,0.628959,0.965747,0.394737,0.285714,0.536842,0.875912,0.934075,0.772277,0.883918,0.312500,0.621212,0.746269,0.594017,0.987354,0.412844,0.083333,0.816000,0.774194,0.865979,0.917647,0.908075,0.200000,0.557823,0.824176,0.668269
7,warmup,0.871312,0.695764,0.979671,0.424242,0.235294,0.682594,0.822917,0.919120,0.860335,0.905237,0.390244,0.653968,0.794595,0.680952,0.974952,0.401639,0.400000,0.595238,0.890977,0.930566,0.819149,0.908636,0.500000,0.613095,0.781915,0.674528,0.984436,0.449541,0.166667,0.800000,0.764516,0.907953,0.905882,0.901863,0.320000,0.700680,0.807692,0.687500
8,warmup,0.877894,0.710607,0.981500,0.535565,0.228571,0.706271,0.812609,0.922034,0.855556,0.905340,0.390244,0.683636,0.805263,0.700696,0.982456,0.492308,0.363636,0.601124,0.888889,0.943716,0.810526,0.884935,0.500000,0.734375,0.772727,0.677130,0.980545,0.587156,0.166667,0.856000,0.748387,0.901325,0.905882,0.926708,0.320000,0.639456,0.840659,0.725962
9,warmup,0.880617,0.710217,0.984050,0.530769,0.222222,0.708487,0.823735,0.923193,0.868132,0.915337,0.368421,0.671378,0.804178,0.702703,0.977906,0.456954,0.333333,0.657534,0.897338,0.949416,0.814433,0.904242,0.538462,0.698529,0.766169,0.661017,0.990272,0.633028,0.166667,0.768000,0.761290,0.898380,0.929412,0.926708,0.280000,0.646259,0.846154,0.750000
10,warmup,0.889469,0.724906,0.984511,0.511013,0.190476,0.736111,0.838488,0.933534,0.885246,0.921085,0.465116,0.706271,0.801061,0.725962,0.979769,0.491525,0.222222,0.650307,0.897059,0.952490,0.826531,0.914321,0.555556,0.685897,0.774359,0.725962,0.989300,0.532110,0.166667,0.848000,0.787097,0.915317,0.952941,0.927950,0.400000,0.727891,0.829670,0.725962
11,warmup,0.893781,0.739319,0.984035,0.556962,0.250000,0.734848,0.849408,0.933782,0.900000,0.921557,0.465116,0.733813,0.814621,0.727689,0.978826,0.515625,0.312500,0.697842,0.893238,0.949049,0.852632,0.916462,0.555556,0.778626,0.776119,0.694323,0.989300,0.605505,0.208333,0.776000,0.809677,0.918999,0.952941,0.926708,0.400000,0.693878,0.857143,0.764423
12,warmup,0.899001,0.740447,0.981678,0.533865,0.250000,0.735294,0.847863,0.943594,0.898876,0.932002,0.439024,0.732673,0.825065,0.765432,0.973231,0.471831,0.312500,0.680272,0.901818,0.957544,0.860215,0.936090,0.562500,0.711538,0.786070,0.786802,0.990272,0.614679,0.208333,0.800000,0.800000,0.930044,0.941176,0.927950,0.360000,0.755102,0.868132,0.745192
