round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.420336,0.253135,0.687500,0.116152,0.000000,0.210101,0.342078,0.307783,0.045455,0.493842,0.000000,0.290221,0.529781,0.014706,0.690196,0.072398,0.000000,0.140541,0.253499,0.772189,0.666667,0.467778,0.000000,0.270588,0.370614,0.031250,0.684825,0.293578,0.000000,0.416000,0.525806,0.192194,0.023529,0.522981,0.000000,0.312925,0.928571,0.009615
2,warmup,0.705402,0.471739,0.881876,0.337900,0.000000,0.465347,0.674342,0.779884,0.567568,0.633140,0.000000,0.445283,0.685057,0.190476,0.821849,0.336364,0.000000,0.336918,0.687919,0.821516,0.459854,0.658177,0.000000,0.500000,0.588933,0.545455,0.951362,0.339450,0.000000,0.752000,0.661290,0.742268,0.741176,0.609938,0.000000,0.401361,0.818681,0.115385
3,warmup,0.763277,0.552875,0.925736,0.457364,0.071429,0.547112,0.714530,0.814755,0.660194,0.760895,0.035088,0.461538,0.750630,0.435233,0.890386,0.395973,0.250000,0.441176,0.760000,0.906222,0.561983,0.723404,0.031250,0.530973,0.693023,0.471910,0.964008,0.541284,0.041667,0.720000,0.674194,0.740059,0.800000,0.802484,0.040000,0.408163,0.818681,0.403846
4,warmup,0.815706,0.602850,0.954023,0.484848,0.057143,0.618557,0.760196,0.872102,0.729282,0.819108,0.031250,0.562963,0.753927,0.590799,0.939623,0.459016,0.090909,0.542169,0.768977,0.886018,0.687500,0.840523,0.025641,0.617886,0.720000,0.595122,0.968872,0.513761,0.041667,0.720000,0.751613,0.858616,0.776471,0.798758,0.040000,0.517007,0.791209,0.586538
5,warmup,0.817068,0.615731,0.953681,0.505837,0.146341,0.621723,0.732087,0.870743,0.758621,0.841007,0.033898,0.537102,0.761644,0.626087,0.956012,0.439189,0.176471,0.584507,0.707831,0.917618,0.741573,0.831311,0.029412,0.558824,0.759563,0.571429,0.951362,0.596330,0.125000,0.664000,0.758065,0.828424,0.776471,0.850932,0.040000,0.517007,0.763736,0.692308
6,warmup,0.832047,0.628368,0.956183,0.472868,0.178571,0.603509,0.750000,0.893424,0.766467,0.858934,0.036364,0.592593,0.779221,0.652278,0.957115,0.409396,0.156250,0.537500,0.745223,0.917702,0.780488,0.867089,0.033333,0.650407,0.738916,0.650718,0.955253,0.559633,0.208333,0.688000,0.754839,0.870398,0.752941,0.850932,0.040000,0.544218,0.824176,0.653846
7,warmup,0.838856,0.640651,0.963250,0.531646,0.175439,0.581470,0.784512,0.889746,0.788235,0.854944,0.034483,0.591760,0.784946,0.707379,0.957692,0.492188,0.151515,0.484043,0.820423,0.933657,0.788235,0.816742,0.030303,0.658333,0.768421,0.751351,0.968872,0.577982,0.208333,0.728000,0.751613,0.849779,0.788235,0.896894,0.040000,0.537415,0.802198,0.668269
8,warmup,0.847935,0.641643,0.962963,0.501931,0.160000,0.607143,0.805369,0.905176,0.767442,0.875940,0.036364,0.593103,0.803235,0.681055,0.952426,0.433333,0.153846,0.548387,0.839161,0.929403,0.758621,0.883692,0.033333,0.601399,0.788360,0.679426,0.973735,0.596330,0.166667,0.680000,0.774194,0.882180,0.776471,0.868323,0.040000,0.585034,0.818681,0.682692
9,warmup,0.858602,0.655498,0.967961,0.496063,0.196078,0.671875,0.817610,0.912467,0.800000,0.884379,0.000000,0.621429,0.800000,0.698113,0.966085,0.434483,0.185185,0.656489,0.797546,0.939891,0.853333,0.875761,0.000000,0.654135,0.777202,0.685185,0.969844,0.577982,0.208333,0.688000,0.838710,0.886598,0.752941,0.893168,0.000000,0.591837,0.824176,0.711538
10,warmup,0.859964,0.660162,0.970287,0.500000,0.233333,0.636704,0.815661,0.914393,0.817073,0.894670,0.000000,0.621429,0.806452,0.711944,0.971707,0.421384,0.194444,0.598592,0.825083,0.928626,0.848101,0.914397,0.000000,0.654135,0.789474,0.694064,0.968872,0.614679,0.291667,0.680000,0.806452,0.900589,0.788235,0.875776,0.000000,0.591837,0.824176,0.730769
