round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.431003,0.272111,0.570312,0.343529,0.000000,0.407240,0.235602,0.478607,0.398467,0.103215,0.000000,0.025974,0.702381,0.000000,0.399844,0.231013,0.000000,0.468750,0.625000,0.737730,0.295455,0.161804,0.000000,0.285714,0.766234,0.000000,0.994163,0.669725,0.000000,0.360000,0.145161,0.354197,0.611765,0.075776,0.000000,0.013605,0.648352,0.000000
2,warmup,0.740127,0.479607,0.922719,0.329897,0.000000,0.521739,0.706868,0.809714,0.528634,0.703896,0.000000,0.332046,0.732468,0.167300,0.884821,0.376471,0.000000,0.383459,0.735192,0.797288,0.422535,0.737415,0.000000,0.383929,0.694581,0.400000,0.964008,0.293578,0.000000,0.816000,0.680645,0.822533,0.705882,0.673292,0.000000,0.292517,0.774725,0.105769
3,warmup,0.793463,0.550608,0.960038,0.409524,0.000000,0.671280,0.763407,0.837227,0.557078,0.807222,0.000000,0.485294,0.723958,0.392265,0.939479,0.425743,0.000000,0.591463,0.746914,0.888430,0.455224,0.759868,0.000000,0.528000,0.688119,0.461039,0.981518,0.394495,0.000000,0.776000,0.780645,0.791605,0.717647,0.860870,0.000000,0.448980,0.763736,0.341346
4,warmup,0.807989,0.592823,0.972530,0.398406,0.076923,0.683274,0.769953,0.859172,0.701031,0.838830,0.089552,0.510345,0.733696,0.480167,0.963706,0.352113,0.500000,0.615385,0.747720,0.925234,0.623853,0.840399,0.071429,0.517483,0.725806,0.424354,0.981518,0.458716,0.041667,0.768000,0.793548,0.801915,0.800000,0.837267,0.120000,0.503401,0.741758,0.552885
5,warmup,0.837040,0.621325,0.974879,0.458498,0.066667,0.664452,0.803306,0.895941,0.777202,0.866925,0.125000,0.514286,0.735905,0.572840,0.968330,0.402778,0.166667,0.568182,0.823729,0.897929,0.694444,0.903096,0.090909,0.541353,0.800000,0.588832,0.981518,0.532110,0.041667,0.800000,0.783871,0.893962,0.882353,0.833540,0.200000,0.489796,0.681319,0.557692
6,warmup,0.848842,0.644658,0.975845,0.478632,0.129032,0.653595,0.796721,0.907939,0.833333,0.878672,0.150000,0.551237,0.725146,0.655738,0.969290,0.448000,0.285714,0.552486,0.810000,0.919245,0.789474,0.904074,0.109091,0.573529,0.775000,0.639269,0.982490,0.513761,0.083333,0.800000,0.783871,0.896907,0.882353,0.854658,0.240000,0.530612,0.681319,0.673077
7,warmup,0.854744,0.651332,0.968050,0.409524,0.068966,0.646259,0.810893,0.911468,0.863636,0.879896,0.202899,0.582822,0.770538,0.701031,0.949486,0.425743,0.200000,0.562130,0.763533,0.924943,0.835165,0.927098,0.159091,0.530726,0.795322,0.755556,0.987354,0.394495,0.041667,0.760000,0.864516,0.898380,0.894118,0.837267,0.280000,0.646259,0.747253,0.653846
8,warmup,0.865865,0.666667,0.972089,0.482456,0.114286,0.681992,0.822581,0.920295,0.840426,0.896684,0.186667,0.586667,0.751445,0.744417,0.961905,0.462185,0.181818,0.654412,0.822581,0.922337,0.766990,0.921363,0.140000,0.575163,0.792683,0.769231,0.982490,0.504587,0.083333,0.712000,0.822581,0.918262,0.929412,0.873292,0.280000,0.598639,0.714286,0.721154
9,warmup,0.865638,0.674507,0.977756,0.483607,0.150000,0.661818,0.819620,0.916168,0.842697,0.902486,0.235294,0.612903,0.771930,0.719807,0.972115,0.437037,0.187500,0.606667,0.804348,0.931507,0.806452,0.926702,0.186047,0.582822,0.825000,0.723301,0.983463,0.541284,0.125000,0.728000,0.835484,0.901325,0.882353,0.879503,0.320000,0.646259,0.725275,0.716346
10,warmup,0.871539,0.677706,0.982473,0.491803,0.093023,0.685039,0.824451,0.921817,0.850829,0.904459,0.238806,0.618421,0.785714,0.735632,0.983431,0.444444,0.105263,0.674419,0.801829,0.932229,0.802083,0.928105,0.190476,0.598726,0.857143,0.704846,0.981518,0.550459,0.083333,0.696000,0.848387,0.911635,0.905882,0.881988,0.320000,0.639456,0.725275,0.769231
