round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.515207,0.352035,0.731820,0.178010,0.000000,0.308411,0.564841,0.448258,0.506494,0.455635,0.000000,0.336570,0.694377,0.000000,0.698497,0.207317,0.000000,0.370787,0.510417,0.762832,0.565217,0.335887,0.000000,0.320988,0.625551,0.000000,0.768482,0.155963,0.000000,0.264000,0.632258,0.317378,0.458824,0.708075,0.000000,0.353741,0.780220,0.000000
2,warmup,0.712892,0.447327,0.910250,0.366906,0.000000,0.504348,0.671210,0.785866,0.490119,0.662828,0.000000,0.282828,0.684096,0.009479,0.917903,0.301775,0.000000,0.395455,0.711191,0.755435,0.369048,0.683377,0.000000,0.549020,0.566787,0.333333,0.902724,0.467890,0.000000,0.696000,0.635484,0.818851,0.729412,0.643478,0.000000,0.190476,0.862637,0.004808
3,warmup,0.770767,0.532398,0.951923,0.472000,0.000000,0.615917,0.722689,0.820550,0.619289,0.754943,0.040816,0.378378,0.730392,0.281879,0.941065,0.418440,0.000000,0.542683,0.754386,0.817849,0.544643,0.729167,0.041667,0.560000,0.659292,0.466667,0.963035,0.541284,0.000000,0.712000,0.693548,0.823270,0.717647,0.782609,0.040000,0.285714,0.818681,0.201923
4,warmup,0.791421,0.562544,0.965383,0.498024,0.000000,0.627306,0.715026,0.851204,0.701754,0.796945,0.064516,0.369099,0.722359,0.438914,0.967742,0.437500,0.000000,0.582192,0.769517,0.843208,0.697674,0.817232,0.054054,0.500000,0.653333,0.414530,0.963035,0.577982,0.000000,0.680000,0.667742,0.859352,0.705882,0.777640,0.080000,0.292517,0.807692,0.466346
5,warmup,0.812755,0.601683,0.975374,0.502092,0.125000,0.618182,0.756137,0.856389,0.779070,0.823884,0.062500,0.457831,0.751295,0.512438,0.968360,0.461538,0.250000,0.566667,0.767442,0.877220,0.770115,0.800703,0.051282,0.558824,0.710784,0.530928,0.982490,0.550459,0.083333,0.680000,0.745161,0.836524,0.788235,0.848447,0.080000,0.387755,0.796703,0.495192
6,warmup,0.817295,0.613714,0.979055,0.514925,0.150000,0.606299,0.721311,0.871212,0.845238,0.844247,0.063492,0.474820,0.750000,0.543967,0.980488,0.433962,0.187500,0.596899,0.733333,0.897036,0.855422,0.864583,0.052632,0.503817,0.726804,0.473310,0.977626,0.633028,0.125000,0.616000,0.709677,0.846834,0.835294,0.824845,0.080000,0.448980,0.774725,0.639423
7,warmup,0.825692,0.622278,0.982405,0.517928,0.139535,0.611940,0.707395,0.885221,0.855491,0.857513,0.029412,0.547231,0.754011,0.579256,0.987230,0.457746,0.157895,0.573427,0.705128,0.924619,0.840909,0.895805,0.023256,0.525000,0.734375,0.488449,0.977626,0.596330,0.125000,0.656000,0.709677,0.849043,0.870588,0.822360,0.040000,0.571429,0.774725,0.711538
8,warmup,0.845211,0.652105,0.982507,0.526316,0.204082,0.629371,0.754266,0.898618,0.853659,0.885749,0.135135,0.559727,0.762431,0.633406,0.981553,0.471014,0.200000,0.559006,0.800725,0.939005,0.886076,0.876063,0.102041,0.561644,0.766667,0.577075,0.983463,0.596330,0.208333,0.720000,0.712903,0.861561,0.823529,0.895652,0.200000,0.557823,0.758242,0.701923
9,warmup,0.853155,0.654419,0.982013,0.548523,0.204082,0.646388,0.724138,0.918118,0.831461,0.891909,0.112676,0.585526,0.761644,0.646552,0.981535,0.507812,0.200000,0.615942,0.777778,0.923937,0.795699,0.931081,0.086957,0.566879,0.759563,0.585938,0.982490,0.596330,0.208333,0.680000,0.677419,0.912371,0.870588,0.855901,0.160000,0.605442,0.763736,0.721154
10,warmup,0.864957,0.664213,0.982456,0.513514,0.212766,0.623729,0.759796,0.927865,0.829545,0.898403,0.114286,0.593103,0.797753,0.717340,0.984375,0.504425,0.217391,0.541176,0.805054,0.922797,0.802198,0.925000,0.088889,0.601399,0.816092,0.708920,0.980545,0.522936,0.208333,0.736000,0.719355,0.932990,0.858824,0.873292,0.160000,0.585034,0.780220,0.725962
11,warmup,0.870858,0.682306,0.982082,0.527660,0.266667,0.652482,0.750000,0.932745,0.842697,0.907360,0.200000,0.585526,0.796610,0.743842,0.977821,0.492063,0.285714,0.585987,0.812030,0.931034,0.806452,0.927367,0.155556,0.566879,0.819767,0.762626,0.986381,0.568807,0.250000,0.736000,0.696774,0.934462,0.882353,0.888199,0.280000,0.605442,0.774725,0.725962
12,warmup,0.877440,0.696879,0.981995,0.545455,0.301887,0.674074,0.774081,0.938940,0.848837,0.915190,0.240000,0.599303,0.797784,0.745000,0.982473,0.479167,0.275862,0.627586,0.846743,0.932462,0.839080,0.932903,0.180000,0.614286,0.804469,0.776042,0.981518,0.633028,0.333333,0.728000,0.712903,0.945508,0.858824,0.898137,0.360000,0.585034,0.791209,0.716346
13,warmup,0.881298,0.708262,0.984988,0.544681,0.360000,0.673835,0.772109,0.941395,0.843373,0.920276,0.285714,0.622642,0.803324,0.746803,0.980714,0.507937,0.346154,0.610390,0.816547,0.948430,0.864198,0.930203,0.222222,0.578947,0.810056,0.797814,0.989300,0.587156,0.375000,0.752000,0.732258,0.934462,0.823529,0.910559,0.400000,0.673469,0.796703,0.701923
14,warmup,0.877894,0.705555,0.984466,0.540146,0.360656,0.681648,0.769497,0.940271,0.836364,0.915385,0.289855,0.609589,0.794366,0.744417,0.982558,0.448485,0.297297,0.640845,0.831461,0.935813,0.862500,0.945695,0.227273,0.613793,0.815029,0.769231,0.986381,0.678899,0.458333,0.728000,0.716129,0.944772,0.811765,0.886957,0.400000,0.605442,0.774725,0.721154
15,warmup,0.883568,0.713770,0.984004,0.572464,0.344828,0.684411,0.795883,0.939295,0.838323,0.918919,0.305085,0.635036,0.803279,0.743719,0.980676,0.473054,0.294118,0.652174,0.849817,0.927495,0.853659,0.953271,0.264706,0.685039,0.798913,0.778947,0.987354,0.724771,0.416667,0.720000,0.748387,0.951399,0.823529,0.886957,0.360000,0.591837,0.807692,0.711538
16,warmup,0.886518,0.720372,0.983527,0.580645,0.350877,0.717557,0.794745,0.940743,0.858824,0.921204,0.281250,0.671378,0.803324,0.740385,0.979730,0.517986,0.303030,0.686131,0.809365,0.940397,0.858824,0.951058,0.230769,0.698529,0.810056,0.740385,0.987354,0.660550,0.416667,0.752000,0.780645,0.941090,0.858824,0.893168,0.360000,0.646259,0.796703,0.740385
17,warmup,0.894462,0.734149,0.986887,0.599078,0.382979,0.705882,0.808081,0.944383,0.880000,0.924138,0.327273,0.671186,0.808399,0.771499,0.985451,0.601852,0.391304,0.653061,0.845070,0.944731,0.855556,0.932911,0.300000,0.668919,0.773869,0.788945,0.988327,0.596330,0.375000,0.768000,0.774194,0.944035,0.905882,0.915528,0.360000,0.673469,0.846154,0.754808
18,warmup,0.891512,0.730343,0.983511,0.578512,0.377358,0.694340,0.812604,0.944545,0.870588,0.919614,0.344828,0.647273,0.807692,0.783251,0.980658,0.526316,0.344828,0.657143,0.836177,0.930050,0.870588,0.953333,0.303030,0.695312,0.807692,0.803030,0.986381,0.642202,0.416667,0.736000,0.790323,0.959499,0.870588,0.888199,0.400000,0.605442,0.807692,0.764423
19,warmup,0.889696,0.728314,0.984360,0.585774,0.363636,0.668919,0.800664,0.944303,0.865497,0.921594,0.367347,0.659649,0.806452,0.771574,0.989194,0.538462,0.322581,0.578947,0.825342,0.933765,0.860465,0.954727,0.375000,0.681159,0.789474,0.817204,0.979572,0.642202,0.416667,0.792000,0.777419,0.955081,0.870588,0.890683,0.360000,0.639456,0.824176,0.730769
20,warmup,0.896959,0.737041,0.983559,0.593607,0.385965,0.680135,0.814310,0.950037,0.875000,0.930057,0.352941,0.680851,0.801075,0.796954,0.977885,0.590909,0.333333,0.587209,0.862816,0.947947,0.846154,0.943734,0.346154,0.711111,0.784211,0.844086,0.989300,0.596330,0.458333,0.808000,0.770968,0.952135,0.905882,0.916770,0.360000,0.653061,0.818681,0.754808
21,phase2,0.889696,0.736831,0.980010,0.602317,0.378378,0.732075,0.790123,0.942734,0.873563,0.919614,0.409091,0.630037,0.807910,0.776119,0.982405,0.520000,0.280000,0.692857,0.871595,0.917131,0.853933,0.953333,0.473684,0.682540,0.831395,0.804124,0.977626,0.715596,0.583333,0.776000,0.722581,0.969809,0.894118,0.888199,0.360000,0.585034,0.785714,0.750000
22,phase2,0.882887,0.712011,0.983895,0.563265,0.320000,0.700000,0.759812,0.944362,0.863905,0.922004,0.317460,0.633333,0.781671,0.754430,0.987267,0.507353,0.307692,0.674074,0.740061,0.951420,0.869048,0.941710,0.263158,0.620915,0.767196,0.796791,0.980545,0.633028,0.333333,0.728000,0.780645,0.937408,0.858824,0.903106,0.400000,0.646259,0.796703,0.716346
