round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.308216,0.220608,0.365575,0.089552,0.000000,0.570281,0.194012,0.000000,0.265957,0.493431,0.000000,0.120690,0.378265,0.169536,0.842105,0.240000,0.000000,0.572581,0.154286,0.000000,0.242718,0.349354,0.000000,0.164706,0.233548,0.117002,0.233463,0.055046,0.000000,0.568000,0.261290,0.000000,0.294118,0.839752,0.000000,0.095238,0.994505,0.307692
2,warmup,0.716296,0.498454,0.900051,0.468293,0.000000,0.561856,0.627680,0.755837,0.579186,0.700461,0.000000,0.496000,0.686957,0.205128,0.940615,0.500000,0.000000,0.414449,0.793103,0.816938,0.470588,0.595819,0.000000,0.601942,0.568345,0.430769,0.862840,0.440367,0.000000,0.872000,0.519355,0.703240,0.752941,0.849689,0.000000,0.421769,0.868132,0.134615
3,warmup,0.773945,0.569223,0.953353,0.529680,0.000000,0.621083,0.702055,0.793954,0.663317,0.784678,0.032787,0.560606,0.711111,0.478049,0.952427,0.527273,0.000000,0.482301,0.748175,0.863322,0.578947,0.736383,0.027778,0.632479,0.645740,0.485149,0.954280,0.532110,0.000000,0.872000,0.661290,0.734904,0.776471,0.839752,0.040000,0.503401,0.791209,0.471154
4,warmup,0.800499,0.600559,0.962099,0.515385,0.000000,0.626198,0.703971,0.828492,0.680412,0.821965,0.135135,0.593640,0.725888,0.613527,0.961165,0.443709,0.000000,0.521277,0.799180,0.901299,0.605505,0.768649,0.102041,0.617647,0.674528,0.616505,0.963035,0.614679,0.000000,0.784000,0.629032,0.766568,0.776471,0.883230,0.200000,0.571429,0.785714,0.610577
5,warmup,0.828416,0.631055,0.965349,0.571429,0.000000,0.647436,0.719298,0.867983,0.743169,0.856796,0.171429,0.613718,0.739583,0.676471,0.968658,0.540984,0.000000,0.540107,0.788462,0.915102,0.693878,0.837485,0.133333,0.653846,0.702970,0.600746,0.962062,0.605505,0.000000,0.808000,0.661290,0.825479,0.800000,0.877019,0.240000,0.578231,0.780220,0.774038
6,warmup,0.835679,0.644071,0.966601,0.527660,0.000000,0.636364,0.748019,0.869462,0.804878,0.866747,0.200000,0.630508,0.765499,0.713115,0.976190,0.492063,0.000000,0.535519,0.735202,0.939316,0.835443,0.838560,0.171429,0.628378,0.751323,0.621429,0.957198,0.568807,0.000000,0.784000,0.761290,0.809278,0.776471,0.896894,0.240000,0.632653,0.780220,0.836538
7,warmup,0.848616,0.662242,0.966391,0.557769,0.000000,0.698529,0.746167,0.889580,0.818182,0.880668,0.271186,0.666667,0.747312,0.704453,0.967805,0.492958,0.000000,0.646259,0.790614,0.942339,0.791209,0.847302,0.235294,0.752137,0.731579,0.608392,0.964981,0.642202,0.000000,0.760000,0.706452,0.842415,0.847059,0.916770,0.320000,0.598639,0.763736,0.836538
8,warmup,0.856332,0.663547,0.969253,0.558704,0.000000,0.666667,0.766323,0.898259,0.818182,0.892985,0.235294,0.659091,0.756906,0.740899,0.972576,0.500000,0.000000,0.575581,0.819853,0.946210,0.791209,0.856328,0.186047,0.743590,0.761111,0.667954,0.965953,0.633028,0.000000,0.792000,0.719355,0.854934,0.847059,0.932919,0.320000,0.591837,0.752747,0.831731
9,warmup,0.859283,0.675743,0.968308,0.545455,0.058824,0.664452,0.765101,0.903942,0.806818,0.899128,0.305085,0.683824,0.770449,0.737527,0.970674,0.464516,0.100000,0.568182,0.797203,0.941036,0.780220,0.901373,0.264706,0.744000,0.741117,0.671937,0.965953,0.660550,0.041667,0.800000,0.735484,0.869661,0.835294,0.896894,0.360000,0.632653,0.802198,0.817308
10,warmup,0.871312,0.682052,0.971845,0.587786,0.000000,0.676056,0.776801,0.917305,0.826087,0.910867,0.285714,0.692308,0.767624,0.772234,0.969961,0.503268,0.000000,0.603774,0.853282,0.955343,0.767677,0.895558,0.236842,0.796460,0.731343,0.703557,0.973735,0.706422,0.000000,0.768000,0.712903,0.882180,0.894118,0.926708,0.360000,0.612245,0.807692,0.855769
11,warmup,0.879256,0.695909,0.969756,0.631148,0.000000,0.736842,0.779661,0.927945,0.832432,0.911961,0.312500,0.696970,0.779841,0.771855,0.972603,0.570370,0.000000,0.695035,0.821429,0.962055,0.770000,0.891924,0.256410,0.786325,0.753846,0.693487,0.966926,0.706422,0.000000,0.784000,0.741935,0.896171,0.905882,0.932919,0.400000,0.625850,0.807692,0.870192
12,warmup,0.882660,0.700638,0.973184,0.596639,0.000000,0.734848,0.785467,0.928110,0.839779,0.904988,0.317460,0.712803,0.803191,0.811189,0.975562,0.550388,0.000000,0.697842,0.847015,0.959874,0.791667,0.866894,0.263158,0.725352,0.778351,0.787330,0.970817,0.651376,0.000000,0.776000,0.732258,0.898380,0.894118,0.946584,0.400000,0.700680,0.829670,0.836538
13,warmup,0.886064,0.702218,0.970732,0.609053,0.000000,0.700680,0.789831,0.931476,0.846154,0.925558,0.321429,0.712121,0.793893,0.825688,0.973581,0.552239,0.000000,0.609467,0.832143,0.953005,0.793814,0.924411,0.290323,0.803419,0.739336,0.789474,0.967899,0.678899,0.000000,0.824000,0.751613,0.910898,0.905882,0.926708,0.360000,0.639456,0.857143,0.865385
14,warmup,0.890604,0.716723,0.970845,0.609442,0.130435,0.738351,0.798646,0.939768,0.808511,0.930435,0.350877,0.720000,0.787879,0.815490,0.969903,0.572581,0.136364,0.668831,0.839858,0.955133,0.737864,0.930435,0.312500,0.773438,0.790055,0.774892,0.971790,0.651376,0.125000,0.824000,0.761290,0.924890,0.894118,0.930435,0.400000,0.673469,0.785714,0.860577
15,warmup,0.896959,0.713647,0.972209,0.632479,0.000000,0.741573,0.807432,0.945875,0.835165,0.930403,0.344828,0.708955,0.808399,0.836449,0.974585,0.592000,0.000000,0.697183,0.847518,0.959122,0.783505,0.914766,0.303030,0.785124,0.773869,0.813636,0.969844,0.678899,0.000000,0.792000,0.770968,0.932990,0.894118,0.946584,0.400000,0.646259,0.846154,0.860577
16,warmup,0.897867,0.718750,0.971652,0.657895,0.000000,0.745247,0.799342,0.943904,0.852459,0.934579,0.352941,0.726592,0.826531,0.813853,0.976424,0.630252,0.000000,0.710145,0.815436,0.958967,0.795918,0.937500,0.346154,0.808333,0.771429,0.740157,0.966926,0.688073,0.000000,0.784000,0.783871,0.929308,0.917647,0.931677,0.360000,0.659864,0.890110,0.903846
17,warmup,0.899228,0.734038,0.970617,0.690909,0.058824,0.782946,0.807947,0.942943,0.863905,0.922429,0.385965,0.727941,0.818414,0.835616,0.977318,0.684685,0.100000,0.759398,0.829932,0.961715,0.869048,0.893939,0.343750,0.792000,0.765550,0.795652,0.964008,0.697248,0.041667,0.808000,0.787097,0.924890,0.858824,0.952795,0.440000,0.673469,0.879121,0.879808
18,warmup,0.903995,0.742777,0.970559,0.647059,0.129032,0.758893,0.812102,0.950339,0.873563,0.939581,0.423077,0.758123,0.829016,0.821978,0.979208,0.596899,0.285714,0.750000,0.801887,0.971538,0.853933,0.932681,0.407407,0.807692,0.784314,0.757085,0.962062,0.706422,0.083333,0.768000,0.822581,0.930044,0.894118,0.946584,0.440000,0.714286,0.879121,0.899038
19,warmup,0.905129,0.740072,0.971707,0.658228,0.066667,0.730627,0.811352,0.946741,0.876404,0.947302,0.444444,0.750000,0.841837,0.835556,0.974560,0.609375,0.166667,0.678082,0.840830,0.957800,0.838710,0.956907,0.413793,0.816000,0.785714,0.776860,0.968872,0.715596,0.041667,0.792000,0.783871,0.935935,0.917647,0.937888,0.480000,0.693878,0.906593,0.903846
20,warmup,0.909215,0.733098,0.973529,0.689362,0.000000,0.754864,0.810720,0.956072,0.854054,0.948157,0.392157,0.751773,0.824147,0.842342,0.981225,0.642857,0.000000,0.734848,0.843206,0.958549,0.790000,0.953518,0.384615,0.785185,0.788945,0.792373,0.965953,0.743119,0.000000,0.776000,0.780645,0.953608,0.929412,0.942857,0.400000,0.721088,0.862637,0.899038
21,phase2,0.912619,0.760694,0.971513,0.683983,0.222222,0.768657,0.812816,0.956941,0.886364,0.947238,0.384615,0.800000,0.847826,0.846154,0.981151,0.647541,0.333333,0.720280,0.851590,0.964820,0.857143,0.946650,0.370370,0.772152,0.838710,0.799145,0.962062,0.724771,0.166667,0.824000,0.777419,0.949190,0.917647,0.947826,0.400000,0.829932,0.857143,0.899038
22,phase2,0.912619,0.749946,0.975418,0.718894,0.176471,0.754448,0.806175,0.957215,0.842105,0.946565,0.347826,0.789668,0.824096,0.860465,0.986083,0.722222,0.300000,0.679487,0.860806,0.942857,0.837209,0.970013,0.380952,0.862903,0.733906,0.833333,0.964981,0.715596,0.125000,0.848000,0.758065,0.972018,0.847059,0.924224,0.320000,0.727891,0.939560,0.889423
23,phase2,0.914662,0.742301,0.971121,0.692308,0.074074,0.765152,0.818182,0.962202,0.826347,0.946842,0.360000,0.781022,0.833333,0.877030,0.977340,0.727273,0.333333,0.726619,0.823529,0.959034,0.841463,0.953401,0.360000,0.842520,0.752212,0.847534,0.964981,0.660550,0.041667,0.808000,0.812903,0.965390,0.811765,0.940373,0.360000,0.727891,0.934066,0.908654
24,phase2,0.906945,0.733030,0.973314,0.678733,0.074074,0.724014,0.839024,0.946327,0.858696,0.945699,0.285714,0.795775,0.803191,0.871795,0.970958,0.669643,0.333333,0.655844,0.845902,0.979511,0.797980,0.929257,0.222222,0.824818,0.778351,0.846154,0.975681,0.688073,0.041667,0.808000,0.832258,0.915317,0.929412,0.962733,0.400000,0.768707,0.829670,0.899038
25,phase2,0.916931,0.750983,0.976722,0.680851,0.137931,0.761194,0.830565,0.959520,0.866310,0.960298,0.363636,0.785965,0.822917,0.865882,0.973888,0.634921,0.400000,0.713287,0.856164,0.977099,0.794118,0.959108,0.333333,0.811594,0.782178,0.847926,0.979572,0.733945,0.083333,0.816000,0.806452,0.942563,0.952941,0.961491,0.400000,0.761905,0.868132,0.884615
26,phase2,0.918066,0.750449,0.975705,0.709957,0.137931,0.804979,0.844884,0.960060,0.840426,0.957746,0.315789,0.801325,0.802168,0.854415,0.974757,0.672131,0.400000,0.836207,0.864865,0.973505,0.766990,0.944444,0.281250,0.780645,0.791444,0.848341,0.976654,0.752294,0.083333,0.776000,0.825806,0.946981,0.929412,0.971429,0.360000,0.823129,0.813187,0.860577
27,phase2,0.925102,0.780895,0.980431,0.672199,0.294118,0.806324,0.853896,0.960507,0.896552,0.968711,0.407407,0.826498,0.838356,0.865741,0.986220,0.613636,0.500000,0.796875,0.859477,0.972097,0.876404,0.976040,0.379310,0.770588,0.836066,0.834821,0.974708,0.743119,0.208333,0.816000,0.848387,0.949190,0.917647,0.961491,0.440000,0.891156,0.840659,0.899038
28,phase2,0.924421,0.789235,0.980334,0.686192,0.390244,0.773234,0.858075,0.959130,0.887640,0.967419,0.415094,0.835443,0.864130,0.853881,0.991054,0.630769,0.470588,0.722222,0.867987,0.977082,0.849462,0.975980,0.392857,0.781065,0.854839,0.813043,0.969844,0.752294,0.333333,0.832000,0.848387,0.941826,0.929412,0.959006,0.440000,0.897959,0.873626,0.899038
29,phase2,0.926691,0.770101,0.980334,0.688073,0.250000,0.789668,0.843493,0.968567,0.862069,0.963750,0.363636,0.802676,0.849315,0.879630,0.991054,0.688073,0.500000,0.732877,0.861953,0.961538,0.842697,0.969811,0.421053,0.789474,0.846995,0.848214,0.969844,0.688073,0.166667,0.856000,0.825806,0.975700,0.882353,0.957764,0.320000,0.816327,0.851648,0.913462
30,phase2,0.919655,0.768484,0.974790,0.692982,0.235294,0.787402,0.841444,0.962689,0.877193,0.958887,0.408163,0.798587,0.837209,0.847162,0.990955,0.663866,0.400000,0.775194,0.819572,0.965901,0.872093,0.976804,0.416667,0.830882,0.790244,0.776000,0.959144,0.724771,0.166667,0.800000,0.864516,0.959499,0.882353,0.941615,0.400000,0.768707,0.890110,0.932692
31,phase2,0.919882,0.767867,0.975321,0.722222,0.250000,0.761905,0.836305,0.963536,0.850575,0.959494,0.408163,0.795775,0.833333,0.857778,0.989980,0.728972,0.500000,0.702703,0.840391,0.963891,0.831461,0.978065,0.416667,0.824818,0.771028,0.797521,0.961089,0.715596,0.166667,0.832000,0.832258,0.963181,0.870588,0.941615,0.400000,0.768707,0.906593,0.927885
32,phase2,0.923286,0.780005,0.976790,0.735426,0.350000,0.782946,0.835237,0.966334,0.890173,0.961586,0.380952,0.786667,0.838710,0.855234,0.991976,0.719298,0.437500,0.759398,0.844884,0.971004,0.875000,0.959209,0.470588,0.771242,0.821053,0.796680,0.962062,0.752294,0.291667,0.808000,0.825806,0.961708,0.905882,0.963975,0.320000,0.802721,0.857143,0.923077
33,phase2,0.929414,0.775058,0.978346,0.721461,0.125000,0.777778,0.858995,0.966556,0.885057,0.968105,0.454545,0.829268,0.838875,0.896714,0.990040,0.718182,0.250000,0.724138,0.863192,0.964784,0.865169,0.974811,0.526316,0.850000,0.784689,0.876147,0.966926,0.724771,0.083333,0.840000,0.854839,0.968336,0.905882,0.961491,0.400000,0.809524,0.901099,0.918269
34,phase2,0.920563,0.755069,0.977843,0.694064,0.157895,0.789474,0.834171,0.963750,0.855491,0.966208,0.339623,0.813187,0.810000,0.859122,0.990030,0.690909,0.214286,0.744681,0.867596,0.958485,0.840909,0.973518,0.321429,0.880952,0.743119,0.826667,0.965953,0.697248,0.125000,0.840000,0.803226,0.969072,0.870588,0.959006,0.360000,0.755102,0.890110,0.894231
35,phase2,0.922379,0.764492,0.975634,0.702222,0.133333,0.754325,0.862179,0.956226,0.877778,0.970260,0.400000,0.818505,0.849604,0.873832,0.977539,0.681034,0.333333,0.664634,0.856688,0.980650,0.831579,0.967862,0.342857,0.858209,0.817259,0.850000,0.973735,0.724771,0.083333,0.872000,0.867742,0.932990,0.929412,0.972671,0.480000,0.782313,0.884615,0.899038
36,phase2,0.925783,0.775413,0.980392,0.714286,0.256410,0.803030,0.841924,0.966219,0.852071,0.961659,0.400000,0.810036,0.844221,0.874704,0.988142,0.695652,0.333333,0.762590,0.900735,0.953405,0.857143,0.973282,0.400000,0.856061,0.777778,0.860465,0.972763,0.733945,0.208333,0.848000,0.790323,0.979381,0.847059,0.950311,0.400000,0.768707,0.923077,0.889423
37,phase2,0.929187,0.776537,0.979392,0.730594,0.258065,0.779026,0.849088,0.970631,0.853801,0.968264,0.377358,0.830325,0.854922,0.866972,0.988119,0.727273,0.571429,0.732394,0.873720,0.967789,0.848837,0.970075,0.357143,0.884615,0.808824,0.828947,0.970817,0.733945,0.166667,0.832000,0.825806,0.973490,0.858824,0.966460,0.400000,0.782313,0.906593,0.908654
38,phase2,0.924875,0.793377,0.978304,0.730435,0.410256,0.714286,0.869281,0.954733,0.881356,0.969021,0.423077,0.838284,0.872629,0.878860,0.992000,0.694215,0.533333,0.621302,0.880795,0.970342,0.847826,0.966625,0.407407,0.814103,0.860963,0.868545,0.964981,0.770642,0.333333,0.840000,0.858065,0.939617,0.917647,0.971429,0.440000,0.863946,0.884615,0.889423
39,phase2,0.932592,0.798287,0.982387,0.716667,0.411765,0.766284,0.869565,0.967694,0.901734,0.974906,0.415094,0.817610,0.875000,0.880734,0.988189,0.656489,0.700000,0.735294,0.902778,0.976030,0.886364,0.984791,0.392857,0.760234,0.865591,0.842105,0.976654,0.788991,0.291667,0.800000,0.838710,0.959499,0.917647,0.965217,0.440000,0.884354,0.884615,0.923077
40,phase2,0.934408,0.808703,0.976378,0.746667,0.440000,0.806084,0.883871,0.965390,0.864865,0.972637,0.415094,0.868327,0.875706,0.889412,0.988048,0.724138,0.423077,0.768116,0.883871,0.965390,0.800000,0.973848,0.392857,0.910448,0.901163,0.870968,0.964981,0.770642,0.458333,0.848000,0.883871,0.965390,0.941176,0.971429,0.440000,0.829932,0.851648,0.908654
41,phase2,0.934862,0.811781,0.978218,0.728972,0.444444,0.803089,0.869712,0.968352,0.895349,0.973142,0.487805,0.846154,0.876574,0.869565,0.995968,0.742857,0.476190,0.776119,0.914591,0.956866,0.885057,0.978643,0.625000,0.870504,0.809302,0.829694,0.961089,0.715596,0.416667,0.832000,0.829032,0.980118,0.905882,0.967702,0.400000,0.823129,0.956044,0.913462
42,phase2,0.928734,0.797048,0.978807,0.694444,0.500000,0.807407,0.854785,0.966800,0.827160,0.966771,0.400000,0.822695,0.861538,0.884161,0.992008,0.700935,0.500000,0.751724,0.875000,0.958062,0.870130,0.975949,0.400000,0.859259,0.807692,0.869767,0.965953,0.688073,0.500000,0.872000,0.835484,0.975700,0.788235,0.957764,0.400000,0.789116,0.923077,0.899038
43,phase2,0.932592,0.806910,0.975706,0.748815,0.432432,0.800000,0.866667,0.965517,0.880952,0.969394,0.465116,0.811189,0.884910,0.882217,0.994944,0.774510,0.615385,0.744828,0.896552,0.952040,0.891566,0.974874,0.555556,0.834532,0.827751,0.848889,0.957198,0.724771,0.333333,0.864000,0.838710,0.979381,0.870588,0.963975,0.400000,0.789116,0.950549,0.918269
44,phase2,0.936223,0.797461,0.982852,0.780952,0.333333,0.787879,0.878939,0.968807,0.870968,0.973175,0.392857,0.844765,0.868217,0.886792,0.990128,0.811881,0.500000,0.748201,0.904437,0.965618,0.801980,0.977444,0.354839,0.900000,0.819512,0.870370,0.975681,0.752294,0.250000,0.832000,0.854839,0.972018,0.952941,0.968944,0.440000,0.795918,0.923077,0.903846
45,phase2,0.939855,0.789921,0.981854,0.758621,0.142857,0.789855,0.876897,0.973052,0.882353,0.975731,0.452830,0.859107,0.882051,0.903846,0.990109,0.819149,0.500000,0.721854,0.918728,0.962536,0.882353,0.977556,0.428571,0.868056,0.826923,0.903846,0.973735,0.706422,0.083333,0.872000,0.838710,0.983800,0.882353,0.973913,0.480000,0.850340,0.945055,0.903846
46,phase2,0.937585,0.798942,0.980948,0.745455,0.285714,0.770370,0.902913,0.967477,0.882682,0.975580,0.444444,0.859016,0.874652,0.898058,0.985280,0.738739,0.454545,0.717241,0.905844,0.982536,0.840426,0.959184,0.413793,0.829114,0.887006,0.906863,0.976654,0.752294,0.208333,0.832000,0.900000,0.952872,0.929412,0.992547,0.480000,0.891156,0.862637,0.889423
47,phase2,0.938039,0.796239,0.981040,0.769953,0.235294,0.767606,0.889984,0.968949,0.895028,0.971710,0.425532,0.858108,0.875000,0.916667,0.980564,0.788462,0.400000,0.685535,0.906355,0.984791,0.843750,0.962241,0.454545,0.852349,0.831683,0.935000,0.981518,0.752294,0.166667,0.872000,0.874194,0.953608,0.952941,0.981366,0.400000,0.863946,0.923077,0.899038
48,phase2,0.938720,0.807266,0.983447,0.752137,0.434783,0.789855,0.898164,0.969403,0.883721,0.978355,0.370370,0.857143,0.872928,0.896882,0.984405,0.704000,0.454545,0.721854,0.930796,0.982602,0.873563,0.974138,0.344828,0.837662,0.877778,0.894737,0.982490,0.807339,0.416667,0.872000,0.867742,0.956554,0.894118,0.982609,0.400000,0.877551,0.868132,0.899038
49,phase2,0.946210,0.826680,0.983879,0.792793,0.444444,0.812030,0.907317,0.974074,0.892655,0.978803,0.444444,0.880000,0.894879,0.914842,0.988224,0.778761,0.476190,0.765957,0.914754,0.979881,0.858696,0.982478,0.413793,0.862745,0.878307,0.926108,0.979572,0.807339,0.416667,0.864000,0.900000,0.968336,0.929412,0.975155,0.480000,0.897959,0.912088,0.903846
50,phase2,0.935996,0.793906,0.982835,0.724324,0.454545,0.750000,0.893964,0.970760,0.761290,0.978829,0.358209,0.861314,0.880829,0.909976,0.991098,0.881579,0.500000,0.649123,0.904290,0.963716,0.842857,0.981273,0.285714,0.929134,0.833333,0.921182,0.974708,0.614679,0.416667,0.888000,0.883871,0.977909,0.694118,0.976398,0.480000,0.802721,0.934066,0.899038
