round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.381525,0.223480,0.636107,0.099174,0.000000,0.141844,0.192513,0.216687,0.544554,0.214876,0.000000,0.139535,0.461538,0.034934,0.469634,0.070866,0.000000,0.625000,0.562500,0.701613,0.470085,0.204724,0.000000,0.220588,0.304196,0.190476,0.985409,0.165138,0.000000,0.080000,0.116129,0.128130,0.647059,0.226087,0.000000,0.102041,0.956044,0.019231
2,warmup,0.731276,0.477080,0.948802,0.420168,0.000000,0.604651,0.633452,0.790378,0.533835,0.656229,0.064516,0.285714,0.655532,0.131687,0.917348,0.387597,0.000000,0.586466,0.706349,0.740979,0.392265,0.725904,0.166667,0.517857,0.528620,0.457143,0.982490,0.458716,0.000000,0.624000,0.574194,0.846834,0.835294,0.598758,0.040000,0.197279,0.862637,0.076923
3,warmup,0.800045,0.560304,0.967897,0.495652,0.000000,0.684825,0.652252,0.868007,0.691943,0.818927,0.048780,0.443548,0.690909,0.360902,0.953730,0.471074,0.000000,0.666667,0.738776,0.862019,0.579365,0.832051,0.062500,0.544554,0.589147,0.376963,0.982490,0.522936,0.000000,0.704000,0.583871,0.874080,0.858824,0.806211,0.040000,0.374150,0.835165,0.346154
4,warmup,0.812755,0.588875,0.972530,0.464912,0.000000,0.691358,0.660870,0.878694,0.808989,0.872020,0.068966,0.482014,0.717241,0.448905,0.963706,0.445378,0.000000,0.711864,0.716981,0.930807,0.774194,0.880862,0.060606,0.511450,0.616601,0.361765,0.981518,0.486239,0.000000,0.672000,0.612903,0.832106,0.847059,0.863354,0.080000,0.455782,0.857143,0.591346
5,warmup,0.835225,0.629492,0.971621,0.500000,0.121212,0.680851,0.694885,0.902721,0.850575,0.877743,0.179104,0.505660,0.753117,0.516411,0.960990,0.435374,0.222222,0.727273,0.766537,0.913962,0.831461,0.886076,0.142857,0.567797,0.689498,0.473896,0.982490,0.587156,0.083333,0.640000,0.635484,0.891753,0.870588,0.869565,0.240000,0.455782,0.829670,0.567308
6,warmup,0.848842,0.644571,0.979136,0.509434,0.162162,0.692015,0.715789,0.916454,0.878613,0.889457,0.161290,0.534722,0.734375,0.561404,0.976767,0.524272,0.230769,0.659420,0.784615,0.908171,0.863636,0.915789,0.135135,0.546099,0.698020,0.516129,0.981518,0.495413,0.125000,0.728000,0.658065,0.924890,0.894118,0.864596,0.200000,0.523810,0.774725,0.615385
7,warmup,0.862006,0.676874,0.979197,0.549180,0.205128,0.735043,0.750842,0.921986,0.890173,0.892989,0.237288,0.571429,0.772118,0.617117,0.974013,0.496296,0.266667,0.788991,0.785211,0.934898,0.875000,0.884287,0.205882,0.601504,0.753927,0.580508,0.984436,0.614679,0.166667,0.688000,0.719355,0.909426,0.905882,0.901863,0.280000,0.544218,0.791209,0.658654
8,warmup,0.866773,0.683981,0.980087,0.567568,0.166667,0.738197,0.718412,0.931397,0.917647,0.896250,0.303030,0.584718,0.772222,0.631579,0.978661,0.557522,0.250000,0.796296,0.815574,0.918397,0.917647,0.901887,0.243902,0.571429,0.780899,0.580645,0.981518,0.577982,0.125000,0.688000,0.641935,0.944772,0.917647,0.890683,0.400000,0.598639,0.763736,0.692308
9,warmup,0.865865,0.688055,0.979157,0.538776,0.150000,0.730290,0.738832,0.929368,0.917647,0.900889,0.360656,0.576803,0.777465,0.656780,0.975845,0.485294,0.187500,0.758621,0.790441,0.938438,0.917647,0.921977,0.305556,0.534884,0.797688,0.587121,0.982490,0.605505,0.125000,0.704000,0.693548,0.920471,0.917647,0.880745,0.440000,0.625850,0.758242,0.745192
10,warmup,0.873581,0.698356,0.975398,0.535433,0.186047,0.699588,0.749175,0.932940,0.934132,0.909321,0.350877,0.575251,0.814404,0.717703,0.967464,0.468966,0.210526,0.720339,0.766892,0.933628,0.951220,0.928756,0.312500,0.565789,0.821229,0.714286,0.983463,0.623853,0.166667,0.680000,0.732258,0.932253,0.917647,0.890683,0.400000,0.585034,0.807692,0.721154
