round,phase,accuracy,f1_macro,f1_Adware,f1_Backdoor,f1_FileInfector,f1_PUA,f1_Ransomware,f1_Riskware,f1_Scareware,f1_Trojan,f1_Trojan_Banker,f1_Trojan_Dropper,f1_Trojan_SMS,f1_Trojan_Spy,precision_Adware,precision_Backdoor,precision_FileInfector,precision_PUA,precision_Ransomware,precision_Riskware,precision_Scareware,precision_Trojan,precision_Trojan_Banker,precision_Trojan_Dropper,precision_Trojan_SMS,precision_Trojan_Spy,recall_Adware,recall_Backdoor,recall_FileInfector,recall_PUA,recall_Ransomware,recall_Riskware,recall_Scareware,recall_Trojan,recall_Trojan_Banker,recall_Trojan_Dropper,recall_Trojan_SMS,recall_Trojan_Spy
1,warmup,0.152973,0.120722,0.011550,0.216561,0.000000,0.153471,0.199847,0.110745,0.111111,0.260870,0.142857,0.171429,0.043011,0.027211,0.545455,0.131021,0.000000,0.090517,0.113380,0.528302,1.000000,0.891304,0.666667,0.111801,1.000000,0.046512,0.005837,0.623853,0.000000,0.504000,0.841935,0.061856,0.058824,0.152795,0.080000,0.367347,0.021978,0.019231
2,warmup,0.690649,0.454439,0.889890,0.438163,0.000000,0.329372,0.661074,0.747066,0.562500,0.711111,0.000000,0.277512,0.750000,0.086580,0.916495,0.356322,0.000000,0.209052,0.688811,0.829290,0.421053,0.671823,0.000000,0.467742,0.666667,0.434783,0.864786,0.568807,0.000000,0.776000,0.635484,0.679676,0.847059,0.755280,0.000000,0.197279,0.857143,0.048077
3,warmup,0.768951,0.554046,0.945366,0.502165,0.000000,0.465632,0.720611,0.818669,0.705882,0.777413,0.100000,0.488372,0.768116,0.356322,0.948141,0.475410,0.000000,0.322086,0.684058,0.851911,0.605042,0.824513,0.133333,0.567568,0.685345,0.442857,0.942607,0.532110,0.000000,0.840000,0.761290,0.787923,0.847059,0.735404,0.080000,0.428571,0.873626,0.298077
4,warmup,0.802315,0.585738,0.956607,0.508772,0.000000,0.554667,0.761146,0.851346,0.726368,0.826285,0.130435,0.496241,0.773684,0.443299,0.970000,0.487395,0.000000,0.416000,0.751572,0.852919,0.629310,0.867486,0.142857,0.554622,0.742424,0.477778,0.943580,0.532110,0.000000,0.832000,0.770968,0.849779,0.858824,0.788820,0.120000,0.448980,0.807692,0.413462
5,warmup,0.818656,0.608829,0.960677,0.506024,0.000000,0.607242,0.778878,0.866691,0.748768,0.847303,0.142857,0.537634,0.792553,0.517321,0.983690,0.450000,0.000000,0.465812,0.797297,0.874157,0.644068,0.888283,0.176471,0.568182,0.768041,0.497778,0.938716,0.577982,0.000000,0.872000,0.761290,0.859352,0.894118,0.809938,0.120000,0.510204,0.818681,0.538462
6,warmup,0.842941,0.628623,0.966848,0.474576,0.000000,0.691729,0.800000,0.895036,0.760870,0.884664,0.100000,0.584906,0.808511,0.576336,0.983887,0.440945,0.000000,0.652482,0.820339,0.921936,0.707071,0.902975,0.133333,0.543860,0.783505,0.477848,0.950389,0.513761,0.000000,0.736000,0.780645,0.869661,0.823529,0.867081,0.080000,0.632653,0.835165,0.725962
7,warmup,0.852928,0.638101,0.974083,0.495726,0.000000,0.697987,0.833603,0.894819,0.821622,0.893157,0.048780,0.591241,0.789916,0.616279,0.979351,0.464000,0.000000,0.601156,0.834951,0.957983,0.760000,0.864111,0.062500,0.637795,0.805714,0.516234,0.968872,0.532110,0.000000,0.832000,0.832258,0.839470,0.894118,0.924224,0.040000,0.551020,0.774725,0.764423
8,warmup,0.871539,0.657316,0.978452,0.524887,0.000000,0.708861,0.844371,0.915190,0.846154,0.915924,0.050000,0.635135,0.813008,0.655804,0.985207,0.517857,0.000000,0.586387,0.867347,0.937452,0.793814,0.939869,0.066667,0.630872,0.802139,0.568905,0.971790,0.532110,0.000000,0.896000,0.822581,0.893962,0.905882,0.893168,0.040000,0.639456,0.824176,0.774038
9,warmup,0.875851,0.670862,0.976904,0.549801,0.068966,0.709220,0.839590,0.919762,0.858696,0.913043,0.054054,0.623288,0.851064,0.685950,0.987090,0.485915,0.200000,0.636943,0.891304,0.928036,0.797980,0.940711,0.083333,0.627586,0.824742,0.601449,0.966926,0.633028,0.041667,0.800000,0.793548,0.911635,0.929412,0.886957,0.040000,0.619048,0.879121,0.798077
10,warmup,0.887653,0.677217,0.978911,0.570248,0.060606,0.709265,0.855241,0.936408,0.858696,0.928527,0.043478,0.632727,0.814404,0.738095,0.987141,0.518797,0.111111,0.590426,0.883162,0.945905,0.797980,0.929104,0.047619,0.679688,0.821229,0.731132,0.970817,0.633028,0.041667,0.888000,0.829032,0.927099,0.929412,0.927950,0.040000,0.591837,0.807692,0.745192
